name,sex,total,d1950,d1960,d1970,d1980
Danya,F,1195,78,197,468,452
Danya,M,21,0,0,21,0
Danyale,F,519,0,28,235,256
Danyale,M,50,0,0,39,11
Danyel,F,1643,0,69,806,768
Danyel,M,252,0,13,146,93
Danyele,F,202,0,15,97,90
Danyell,F,1708,0,51,879,778
Danyell,M,312,0,10,185,117
Danyelle,F,2874,0,167,1159,1548
Danyelle,M,37,0,0,37,0
Daphane,F,393,47,150,114,82
Daphanie,F,320,0,87,134,99
Daphene,F,323,81,145,82,15
Daphine,F,751,190,294,179,88
Daphne,F,17248,2789,6933,4827,2699
Daphne,M,7,0,7,0,0
Daphney,F,692,44,203,218,227
Daphnie,F,258,0,53,98,107
Daquan,M,492,0,0,39,453
Dara,F,8366,971,1840,2650,2905
Dara,M,241,6,19,31,185
Darah,F,400,20,40,92,248
Daralyn,F,242,71,80,43,48
Daran,F,10,5,5,0,0
Daran,M,431,21,182,115,113
Darbi,F,261,0,46,132,83
Darby,F,2002,276,444,616,666
Darby,M,1618,222,408,707,281
Darcee,F,433,60,131,134,108
Darcel,F,1206,516,328,137,225
Darcel,M,90,29,0,23,38
Darcell,F,499,149,138,78,134
Darcell,M,93,0,0,23,70
Darcelle,F,361,120,108,62,71
Darcey,F,1543,186,455,553,349
Darcey,M,93,22,30,33,8
Darci,F,5046,280,1409,1817,1540
Darcia,F,491,164,143,119,65
Darcie,F,4435,426,1085,1727,1197
Darcy,F,16558,2706,5588,4985,3279
Darcy,M,1968,551,611,527,279
Darek,M,730,6,107,292,325
Darel,F,5,0,0,0,5
Darel,M,1051,352,367,195,137
Darell,F,10,0,0,0,10
Darell,M,2573,662,671,537,703
Daren,F,189,63,85,24,17
Daren,M,7971,288,3951,2174,1558
Dari,F,347,74,127,96,50
Daria,F,3759,1088,1055,918,698
Daria,M,5,0,0,0,5
Darian,F,423,54,91,120,158
Darian,M,3056,21,487,1623,925
Daric,M,365,0,84,161,120
Darice,F,1168,368,295,341,164
Darice,M,6,0,0,0,6
Darick,M,819,21,198,313,287
Dariel,F,61,24,5,5,27
Dariel,M,344,64,88,44,148
Darien,F,357,104,85,70,98
Darien,M,1782,46,524,511,701
Darik,M,264,0,33,96,135
Darilyn,F,432,182,107,77,66
Darin,F,261,16,110,59,76
Darin,M,27136,184,13745,9082,4125
Darinda,F,205,54,93,58,0
Dario,M,2790,384,475,697,1234
Darion,M,990,17,190,253,530
Darious,M,311,5,6,63,237
Daris,F,131,71,40,0,20
Daris,M,509,93,127,105,184
Darius,F,131,0,5,34,92
Darius,M,12259,587,1351,3144,7177
Darl,F,13,13,0,0,0
Darl,M,695,330,229,100,36
Darla,F,33317,9599,16340,5382,1996
Darla,M,27,6,16,5,0
Darlean,F,587,272,245,70,0
Darleen,F,3716,1667,1318,504,227
Darlena,F,1099,331,412,209,147
Darlene,F,122081,61886,43527,11484,5184
Darlene,M,343,138,150,48,7
Darline,F,2078,865,680,231,302
Darling,F,262,56,69,32,105
Darlyn,F,564,233,165,73,93
Darlyn,M,6,0,6,0,0
Darlyne,F,335,190,123,7,15
Darlynn,F,389,156,164,57,12
Darnel,F,46,6,35,5,0
Darnel,M,572,46,133,175,218
Darnell,F,1738,588,600,344,206
Darnell,M,17780,2969,3689,4828,6294
Darnella,F,539,157,185,111,86
Darnelle,F,207,26,75,51,55
Darnelle,M,192,0,11,39,142
Darnetta,F,395,71,118,122,84
Darnisha,F,384,0,10,97,277
Darnita,F,244,28,70,77,69
Darold,M,1736,688,584,301,163
Darolyn,F,214,72,88,40,14
Daron,F,112,0,11,0,101
Daron,M,4229,191,1448,1325,1265
Darra,F,372,62,106,90,114
Darrah,F,373,37,40,94,202
Darral,M,311,104,120,43,44
Darran,M,597,26,300,162,109
Darrel,F,84,39,30,15,0
Darrel,M,16054,6035,5499,2658,1862
Darrell,F,802,198,258,217,129
Darrell,M,108516,37257,38025,20072,13162
Darren,F,519,30,209,151,129
Darren,M,75358,2048,35038,22574,15698
Darrian,F,16,0,0,0,16
Darrian,M,568,0,95,190,283
Darrick,F,11,0,0,11,0
Darrick,M,6049,279,1239,3165,1366
Darriel,F,11,0,6,0,5
Darriel,M,408,103,137,79,89
Darrien,M,512,0,148,121,243
Darrin,F,127,6,78,27,16
Darrin,M,24259,206,13609,6934,3510
Darrion,M,542,0,95,107,340
Darris,F,19,14,5,0,0
Darris,M,1189,189,294,261,445
Darrius,M,1702,0,74,330,1298
Darrly,M,328,18,187,44,79
Darrol,M,356,159,121,49,27
Darrold,M,237,110,89,27,11
Darroll,M,247,105,81,49,12
Darron,M,4297,171,1938,1172,1016
Darrow,M,449,152,162,80,55
Darry,M,1231,363,529,202,137
Darryel,M,219,82,114,5,18
Darryl,F,835,232,353,98,152
Darryl,M,72981,15083,39200,8385,10313
Darryle,M,1121,204,576,183,158
Darryll,M,1073,204,485,219,165
Darryn,F,5,0,5,0,0
Darryn,M,847,15,408,207,217
Dartagnan,M,209,0,21,116,72
Darvin,M,1572,472,538,285,277
Darvis,M,262,24,34,79,125
Darwin,F,18,7,11,0,0
Darwin,M,9439,3490,3436,1363,1150
Darwyn,M,327,116,138,31,42
Daryel,M,310,123,120,50,17
Daryl,F,2654,1317,646,256,435
Daryl,M,47628,14506,15268,11014,6840
Daryle,F,104,71,23,5,5
Daryle,M,1877,501,661,550,165
Daryll,F,11,11,0,0,0
Daryll,M,1247,294,411,306,236
Daryn,F,237,38,73,24,102
Daryn,M,1245,15,459,422,349
Dasha,F,640,0,11,197,432
Dashaun,F,5,0,0,0,5
Dashaun,M,293,0,0,55,238
Dashawn,F,262,0,24,119,119
Dashawn,M,1072,0,10,300,762
Dashon,F,15,0,0,10,5
Dashon,M,297,0,0,98,199
Dathan,M,605,16,71,269,249
Daun,F,651,186,286,155,24
Daun,M,12,7,5,0,0
Daunte,M,241,0,0,54,187
Dava,F,1012,258,262,302,190
Dave,F,48,14,34,0,0
Dave,M,34717,14837,15774,2589,1517
Daven,F,36,0,0,20,16
Daven,M,479,12,72,140,255
Davena,F,312,24,91,106,91
Davetta,F,439,80,141,131,87
Davette,F,486,63,140,160,123
Davey,F,6,0,6,0,0
Davey,M,1824,559,498,465,302
Davi,F,221,0,56,91,74
Davi,M,191,33,26,49,83
Davia,F,393,50,59,106,178
David,F,9133,1580,2524,2494,2535
David,M,2333307,769963,733953,445704,383687
Davida,F,2658,513,521,813,811
Davida,M,5,0,0,5,0
Davide,M,433,47,118,129,139
Davidson,M,222,12,13,60,137
Davie,F,156,60,25,28,43
Davie,M,1504,491,477,310,226
Davin,F,136,0,5,41,90
Davin,M,2810,87,381,1080,1262
Davina,F,4111,156,668,1799,1488
Davion,F,12,0,0,0,12
Davion,M,521,0,0,111,410
Davis,F,94,21,16,18,39
Davis,M,5676,1371,1151,1113,2041
Davita,F,549,20,123,167,239
Davon,F,242,0,21,79,142
Davon,M,2573,0,52,519,2002
Davonna,F,348,10,73,109,156
Davy,F,40,0,0,0,40
Davy,M,1711,586,410,458,257
Dawan,F,35,0,0,25,10
Dawan,M,397,6,0,190,201
Dawana,F,498,61,137,191,109
Dawanda,F,228,0,52,115,61
Dawanna,F,353,16,67,139,131
Dawayne,M,951,92,204,355,300
Dawn,F,268044,38899,114293,92446,22406
Dawn,M,892,111,314,353,114
Dawna,F,5004,1113,2157,1159,575
Dawne,F,2212,512,1018,565,117
Dawnell,F,369,49,124,149,47
Dawnelle,F,486,70,79,187,150
Dawnetta,F,297,26,98,121,52
Dawnette,F,646,68,264,238,76
Dawnielle,F,318,0,18,129,171
Dawnita,F,342,25,131,136,50
Dawnmarie,F,703,6,276,301,120
Dawnn,F,257,42,112,58,45
Dawnya,F,209,0,51,127,31
Dawon,M,203,0,0,60,143
Dawson,M,957,233,159,211,354
Dawud,M,346,0,0,200,146
Dax,M,1481,0,52,1018,411
Dayana,F,414,0,0,93,321
Dayla,F,399,37,84,144,134
Dayle,F,1235,674,251,168,142
Dayle,M,491,228,151,75,37
Daylene,F,291,61,91,84,55
Daylon,M,298,19,42,84,153
Daymon,M,549,77,130,266,76
Daymond,M,391,37,91,183,80
Dayna,F,9243,956,2323,2662,3302
Dayna,M,77,5,20,33,19
Dayne,F,50,7,0,12,31
Dayne,M,1124,187,239,222,476
Daysha,F,382,0,0,91,291
Dayton,M,1768,453,339,386,590
De,F,362,88,148,71,55
De,M,134,6,15,36,77
Dea,F,1026,249,340,273,164
Dea,M,5,0,0,0,5
Deadra,F,922,104,432,232,154
Dean,F,819,308,284,147,80
Dean,M,99068,34584,42527,13898,8059
Deana,F,19048,2407,6792,7074,2775
Deana,M,14,0,0,14,0
Deandra,F,2151,33,284,570,1264
Deandra,M,437,0,25,139,273
Deandre,F,265,0,5,96,164
Deandre,M,6575,5,251,1499,4820
Deandrea,F,1096,8,167,320,601
Deandrea,M,332,0,0,105,227
Deandria,F,236,0,28,54,154
Deane,F,548,181,194,112,61
Deane,M,966,388,310,183,85
Deangela,F,679,5,132,227,315
Deangelo,F,21,0,0,0,21
Deangelo,M,3443,0,226,717,2500
Deanie,F,399,147,183,51,18
Deanie,M,10,0,10,0,0
Deann,F,8731,1609,3974,2260,888
Deanna,F,88667,11260,32269,26983,18155
Deanna,M,208,0,68,86,54
Deanne,F,11801,2076,5475,2929,1321
Deanne,M,5,0,0,5,0
Deante,F,5,0,0,0,5
Deante,M,494,0,0,46,448
Deanthony,M,533,0,9,90,434
Dearl,M,347,142,95,62,48
Deatra,F,477,58,220,133,66
Deatrice,F,591,78,273,157,83
Deb,F,1450,771,667,12,0
Debara,F,306,197,97,12,0
Debarah,F,231,132,88,11,0
Debbe,F,215,156,53,6,0
Debbi,F,2870,1344,1192,277,57
Debbie,F,181263,82097,84213,11516,3437
Debbie,M,434,198,180,56,0
Debbora,F,221,135,86,0,0
Debborah,F,599,386,184,24,5
Debbra,F,3490,1969,1122,305,94
Debby,F,8594,4460,3354,564,216
Debera,F,1149,732,357,55,5
Deberah,F,331,235,83,13,0
Debi,F,3735,1857,1493,270,115
Debie,F,443,217,189,37,0
Debora,F,26859,14919,9632,1721,587
Debora,M,28,11,17,0,0
Deborah,F,676614,430537,183439,47855,14783
Deborah,M,1561,788,492,215,66
Deboraha,F,353,241,112,0,0
Deborha,F,1066,632,348,86,0
Deborra,F,230,208,22,0,0
Deborrah,F,883,697,171,15,0
Debra,F,539547,341348,153771,34605,9823
Debra,M,1140,591,410,108,31
Debrah,F,3967,2373,1122,312,160
Debria,F,236,154,77,0,5
Debroah,F,1403,736,458,141,68
Deby,F,258,133,108,17,0
Decarlo,M,364,6,42,174,142
Decarlos,M,587,0,22,291,274
December,F,449,0,64,160,225
Declan,M,295,27,70,53,145
Dede,F,1426,456,635,285,50
Dedra,F,3868,404,1641,1170,653
Dedria,F,413,28,230,99,56
Dedric,F,20,0,0,20,0
Dedric,M,1125,0,87,825,213
Dedrick,F,16,0,0,10,6
Dedrick,M,2278,83,250,1071,874
Dee,F,11247,4327,4826,1585,509
Dee,M,2237,958,683,380,216
Deeann,F,2480,526,1141,564,249
Deeanna,F,1320,156,444,397,323
Deeanne,F,369,50,184,98,37
Deedee,F,3119,695,1392,787,245
Deedra,F,1806,191,645,576,394
Deena,F,10568,2071,3778,3104,1615
Deena,M,5,0,5,0,0
Deepa,F,302,0,5,111,186
Deepak,M,292,0,20,123,149
Deetta,F,529,217,182,96,34
Deette,F,421,147,183,75,16
Deidra,F,7910,599,2483,2129,2699
Deidre,F,12079,1519,4364,3118,3078
Deidre,M,11,0,5,0,6
Deion,F,29,5,13,11,0
Deion,M,269,0,48,72,149
Deirdra,F,998,60,432,285,221
Deirdre,F,13767,2274,6321,3123,2049
Deisy,F,332,0,0,10,322
Deitra,F,894,85,359,296,154
Deja,F,1108,0,5,152,951
Deja,M,19,0,0,5,14
Dejon,F,39,0,0,16,23
Dejon,M,365,0,7,71,287
Dejuan,F,40,0,0,15,25
Dejuan,M,2265,8,129,816,1312
Dejuana,F,224,25,83,73,43
Del,F,354,216,126,12,0
Del,M,2690,1095,967,427,201
Delaina,F,742,61,184,250,247
Delaine,F,1369,535,483,213,138
Delaine,M,107,39,32,26,10
Delana,F,2352,396,751,683,522
Deland,M,210,83,78,37,12
Delane,F,612,244,194,107,67
Delane,M,493,163,165,114,51
Delaney,F,536,12,30,159,335
Delaney,M,455,78,86,166,125
Delania,F,203,6,59,93,45
Delanie,F,328,40,37,130,121
Delano,F,10,5,0,0,5
Delano,M,1925,334,508,543,540
Delante,M,201,0,0,52,149
Delayne,F,253,100,92,24,37
Delayne,M,45,27,6,12,0
Delbert,F,22,6,16,0,0
Delbert,M,12931,6004,3910,1935,1082
Delbra,F,319,263,56,0,0
Delecia,F,220,0,38,84,98
Delena,F,1240,252,402,354,232
Delene,F,507,228,207,58,14
Deleon,F,14,0,0,0,14
Deleon,M,313,11,47,95,160
Delfina,F,1312,412,322,313,265
Delfino,M,854,217,199,211,227
Delia,F,13634,4589,3856,2976,2213
Delia,M,24,6,0,10,8
Deliah,F,397,95,75,108,119
Delicia,F,1541,50,222,753,516
Delight,F,329,160,72,63,34
Delila,F,776,181,122,191,282
Delilah,F,5807,1633,802,1477,1895
Delina,F,633,83,188,189,173
Delinda,F,1906,554,901,322,129
Delisa,F,2727,272,1151,705,599
Delise,F,293,68,117,51,57
Delisha,F,574,0,38,225,311
Delissa,F,272,17,79,67,109
Dell,F,784,450,239,84,11
Dell,M,1711,711,599,254,147
Della,F,13239,6038,4583,1804,814
Delma,F,2340,1057,771,355,157
Delma,M,279,167,80,19,13
Delmar,F,17,17,0,0,0
Delmar,M,3118,1323,824,595,376
Delmas,M,682,298,196,132,56
Delmer,M,1453,727,397,221,108
Delmus,M,213,90,53,52,18
Delois,F,3608,2346,952,218,92
Deloise,F,983,619,288,76,0
Delon,F,33,0,12,21,0
Delon,M,549,29,122,216,182
Delonda,F,283,6,96,139,42
Delonte,M,368,0,0,71,297
Delora,F,1129,405,350,243,131
Delores,F,31390,19363,8459,2423,1145
Delores,M,67,56,11,0,0
Deloria,F,218,100,76,32,10
Delories,F,321,239,76,6,0
Deloris,F,10418,6593,2695,775,355
Deloris,M,11,11,0,0,0
Delorise,F,593,409,151,33,0
Delorse,F,544,320,174,45,5
Delphia,F,715,335,224,109,47
Delphina,F,339,106,112,87,34
Delphine,F,3147,1676,987,343,141
Delray,M,322,70,112,57,83
Delroy,M,593,160,152,100,181
Delsie,F,231,124,79,28,0
Delta,F,1087,298,195,410,184
Delta,M,35,24,0,11,0
Delton,M,1790,603,500,408,279
Delvin,F,22,0,0,16,6
Delvin,M,2410,421,405,809,775
Delvon,M,374,0,0,134,240
Delwin,M,806,259,225,220,102
Delwyn,M,440,158,123,88,71
Delynn,F,636,190,267,128,51
Delynn,M,65,36,24,5,0
Demar,M,444,13,8,140,283
Demarco,M,1658,20,99,582,957
Demarcus,F,29,0,0,0,29
Demarcus,M,4168,5,37,909,3217
Demario,F,17,0,0,6,11
Demario,M,2718,0,13,481,2224
Demaris,F,419,137,111,91,80
Demaris,M,104,0,0,11,93
Demarius,M,258,0,0,20,238
Demarko,M,231,0,0,95,136
Demarkus,M,255,0,0,45,210
Demeka,F,251,0,0,141,110
Demetra,F,2746,306,870,999,571
Demetra,M,12,0,0,12,0
Demetri,F,147,6,47,82,12
Demetri,M,733,38,155,217,323
Demetria,F,7298,443,1368,3273,2214
Demetria,M,107,0,6,62,39
Demetric,F,405,11,88,225,81
Demetric,M,1184,5,107,550,522
Demetrica,F,216,0,41,123,52
Demetrice,F,1643,118,440,689,396
Demetrice,M,965,11,85,395,474
Demetrick,M,410,0,25,204,181
Demetrio,M,1132,201,274,307,350
Demetrios,M,1472,93,349,620,410
Demetrious,F,58,0,19,25,14
Demetrious,M,821,35,152,309,325
Demetris,F,844,57,235,348,204
Demetris,M,1334,21,157,495,661
Demetrius,F,1537,80,363,650,444
Demetrius,M,16546,507,2552,6300,7187
Demetruis,F,5,0,0,5,0
Demetruis,M,506,0,66,232,208
Demetrus,F,22,0,5,17,0
Demetrus,M,401,0,42,190,169
Demi,F,251,0,10,7,234
Demian,F,14,0,7,7,0
Demian,M,652,0,63,520,69
Demita,F,268,0,135,79,54
Demitra,F,315,11,64,135,105
Demitrius,F,11,0,0,6,5
Demitrius,M,592,0,63,217,312
Demon,M,465,0,10,246,209
Demond,F,25,0,0,20,5
Demond,M,3435,0,11,2493,931
Demone,M,264,0,11,133,120
Demont,M,333,0,10,210,113
Demonte,M,257,0,0,54,203
Demorris,M,227,10,11,59,147
Dempsey,M,923,368,235,181,139
Dena,F,25248,3956,9174,8504,3614
Dena,M,56,0,10,31,15
Denae,F,1138,50,167,290,631
Denard,M,444,32,78,108,226
Denay,F,241,0,36,76,129
Dene,F,419,86,136,83,114
Dene,M,105,53,40,12,0
Denea,F,209,0,24,67,118
Denean,F,466,12,243,143,68
Denee,F,666,26,153,212,275
Deneen,F,3492,127,2741,404,220
Deneen,M,7,0,7,0,0
Deneice,F,284,118,101,39,26
Deneise,F,278,137,108,33,0
Denell,F,400,53,160,118,69
Denell,M,33,0,0,22,11
Denelle,F,556,36,126,218,176
Denelle,M,6,0,0,0,6
Denene,F,351,27,232,76,16
Denese,F,1454,646,579,181,48
Denesha,F,385,0,0,106,279
Denetra,F,375,0,58,162,155
Denette,F,670,115,340,155,60
Deni,F,377,74,73,148,82
Deni,M,27,0,0,6,21
Denia,F,478,55,131,130,162
Denice,F,9140,3660,3105,1602,773
Deniece,F,931,282,266,169,214
Denielle,F,722,0,55,269,398
Deniese,F,343,142,134,67,0
Denika,F,332,0,0,152,180
Denine,F,940,105,519,232,84
Denis,F,316,59,74,72,111
Denis,M,10131,4953,2755,1398,1025
Denisa,F,718,128,270,199,121
Denise,F,333588,123783,128824,55868,25113
Denise,M,1226,321,457,243,205
Denisha,F,1891,0,53,493,1345
Denisse,F,973,7,39,110,817
Denita,F,2540,357,991,725,467
Denitra,F,369,0,33,174,162
Denna,F,1819,369,720,511,219
Dennette,F,209,22,125,57,5
Dennice,F,230,107,81,21,21
Dennie,F,353,149,95,93,16
Dennie,M,1840,743,575,330,192
Dennis,F,1548,518,421,360,249
Dennis,M,380266,204267,94984,50552,30463
Dennise,F,1822,450,504,401,467
Dennise,M,78,11,24,38,5
Dennison,M,374,83,78,95,118
Denny,F,271,103,56,79,33
Denny,M,8305,2693,2447,1942,1223
Deno,M,420,126,194,60,40
Denton,M,1695,423,359,397,516
Denver,F,85,6,0,29,50
Denver,M,4364,1295,984,1049,1036
Denyce,F,242,117,78,40,7
Denys,F,276,40,55,87,94
Denys,M,44,0,0,10,34
Denyse,F,927,299,306,213,109
Denzel,M,465,123,68,26,248
Denzil,M,1064,453,276,207,128
Deon,F,1104,263,287,378,176
Deon,M,5990,148,1130,2401,2311
Deona,F,582,38,154,193,197
Deondra,F,638,6,60,167,405
Deondra,M,195,0,6,80,109
Deondre,M,412,0,13,108,291
Deonna,F,1466,79,303,477,607
Deonna,M,5,0,0,0,5
Deonne,F,394,86,145,131,32
Deonne,M,17,0,6,11,0
Deonta,F,30,0,0,5,25
Deonta,M,567,0,0,80,487
Deontae,M,358,0,0,28,330
Deonte,F,20,0,0,0,20
Deonte,M,1253,0,0,142,1111
Dequan,M,453,0,0,135,318
Derald,M,838,331,290,120,97
Dereck,M,3065,196,539,779,1551
Derek,F,740,12,68,202,458
Derek,M,135499,5245,19021,38310,72923
Derell,M,371,0,54,92,225
Derenda,F,317,121,140,50,6
Deric,M,2627,92,556,951,1028
Derick,F,39,0,0,11,28
Derick,M,10203,369,1621,3256,4957
Derik,M,2965,59,385,871,1650
Derin,F,30,0,0,0,30
Derin,M,252,0,45,65,142
Derinda,F,378,153,155,60,10
Derk,M,501,96,167,143,95
Dermot,M,240,58,105,72,5
Deron,F,35,0,5,11,19
Deron,M,3453,36,1334,1135,948
Deronda,F,317,103,144,65,5
Derral,M,227,104,59,27,37
Derreck,M,789,28,143,247,371
Derrek,M,1576,54,250,430,842
Derrel,M,595,192,157,118,128
Derrell,F,16,6,10,0,0
Derrell,M,3120,719,710,674,1017
Derric,M,914,14,219,364,317
Derrick,F,904,36,190,352,326
Derrick,M,96567,6173,21192,32860,36342
Derrik,M,1009,38,154,236,581
Derrill,M,382,143,119,53,67
Derrin,M,359,0,129,83,147
Derris,M,263,44,22,72,125
Derron,M,767,7,204,251,305
Derry,F,87,48,28,11,0
Derry,M,914,335,261,187,131
Derryl,M,650,205,290,79,76
Derwin,M,2680,625,1160,553,342
Derwood,M,254,136,91,27,0
Deryck,M,228,0,44,84,100
Deryk,M,277,5,51,59,162
Deryl,F,144,120,24,0,0
Deryl,M,1130,478,343,203,106
Desarae,F,610,0,5,121,484
Desaray,F,208,0,0,30,178
Desaree,F,282,5,38,63,176
Desean,F,5,0,0,0,5
Desean,M,685,0,18,211,456
Deserae,F,443,0,5,71,367
Deseree,F,638,21,78,165,374
Deserie,F,707,28,211,260,208
Desha,F,395,0,41,184,170
Deshanna,F,248,0,5,145,98
Deshaun,F,174,0,20,86,68
Deshaun,M,1073,0,5,341,727
Deshawn,F,902,0,154,504,244
Deshawn,M,3485,0,87,1337,2061
Deshawna,F,235,0,5,90,140
Deshon,F,138,0,44,89,5
Deshon,M,695,0,36,339,320
Deshonda,F,255,0,5,127,123
Deshun,F,40,0,7,23,10
Deshun,M,310,0,7,130,173
Desi,F,435,129,134,106,66
Desi,M,1447,312,298,537,300
Desiderio,M,264,75,44,78,67
Desirae,F,3576,26,114,612,2824
Desiray,F,321,5,0,56,260
Desire,F,1217,36,114,273,794
Desirea,F,670,0,26,127,517
Desiree,F,41888,3063,7151,9865,21809
Desiree,M,150,0,16,42,92
Desma,F,292,60,63,107,62
Desmon,M,384,0,5,131,248
Desmond,F,101,0,0,33,68
Desmond,M,10138,492,1180,3066,5400
Despina,F,700,84,178,242,196
Dessa,F,494,125,119,118,132
Dessie,F,1300,589,344,200,167
Dessie,M,45,33,7,5,0
Destin,F,127,0,0,13,114
Destin,M,583,0,11,146,426
Destinee,F,887,0,0,83,804
Destiney,F,526,0,0,81,445
Destini,F,647,0,0,105,542
Destinie,F,333,0,0,56,277
Destiny,F,8307,16,137,1612,6542
Destiny,M,83,0,0,10,73
Destry,F,51,0,12,22,17
Destry,M,874,29,338,277,230
Detra,F,1934,208,718,735,273
Detria,F,282,10,99,128,45
Detric,F,5,0,5,0,0
Detric,M,239,0,5,131,103
Detrice,F,304,9,110,130,55
Detrick,F,25,0,0,20,5
Detrick,M,909,0,62,491,356
Deva,F,444,57,90,165,132
Deva,M,11,0,0,11,0
Devan,F,1223,0,14,270,939
Devan,M,2057,62,143,335,1517
Devaughn,M,574,30,28,201,315
Deven,F,530,7,27,192,304
Deven,M,1384,25,162,300,897
Devera,F,282,123,123,20,16
Devi,F,289,23,104,79,83
Devin,F,5081,37,153,1070,3821
Devin,M,31102,399,2728,6271,21704
Devina,F,404,0,42,146,216
Devita,F,218,8,63,76,71
Devlin,F,39,0,0,20,19
Devlin,M,701,5,125,271,300
Devon,F,8805,402,669,2546,5188
Devon,M,13968,474,1129,3101,9264
Devona,F,1793,247,373,793,380
Devonda,F,224,19,56,96,53
Devone,F,90,10,30,40,10
Devone,M,265,0,24,74,167
Devonna,F,1001,178,258,286,279
Devonne,F,699,127,215,183,174
Devonne,M,226,0,16,84,126
Devonte,M,275,0,0,0,275
Devora,F,828,167,181,205,275
Devorah,F,1178,167,168,321,522
Devra,F,680,224,224,132,100
Devron,M,372,0,52,118,202
Devyn,F,412,0,0,71,341
Devyn,M,195,0,0,0,195
Dewain,M,349,130,112,79,28
Dewaine,M,295,116,99,62,18
Dewan,F,16,0,6,10,0
Dewan,M,342,0,19,161,162
Dewana,F,517,114,175,144,84
Dewanda,F,642,89,229,222,102
Dewane,M,260,63,95,76,26
Dewanna,F,634,126,208,175,125
Deward,M,207,110,57,35,5
Dewayne,F,101,6,27,28,40
Dewayne,M,17550,3396,5876,4939,3339
Dewey,F,11,11,0,0,0
Dewey,M,9014,3831,2627,1635,921
Dewight,M,388,85,99,120,84
Dewitt,M,1715,721,474,285,235
Dexter,F,116,24,37,26,29
Dexter,M,16542,3483,4902,3869,4288
Deyanira,F,478,0,31,180,267
Dezarae,F,256,0,0,36,220
Dezmond,M,209,0,0,23,186
Dia,F,998,83,247,391,277
Dia,M,74,0,0,60,14
Diahann,F,349,62,181,94,12
Diallo,F,5,0,0,5,0
Diallo,M,322,0,0,310,12
Diamantina,F,328,112,93,65,58
Diamond,F,2011,14,35,218,1744
Diamond,M,659,55,26,165,413
Dian,F,2608,1538,716,205,149
Dian,M,5,5,0,0,0
Diana,F,215523,80234,65037,33348,36904
Diana,M,832,169,184,158,321
Dianah,F,351,121,94,75,61
Diandra,F,852,0,6,138,708
Diane,F,361582,210624,114453,25323,11182
Diane,M,966,433,324,121,88
Diania,F,478,251,156,56,15
Diann,F,7948,4627,2603,536,182
Dianna,F,38860,14973,13373,6228,4286
Dianna,M,43,13,14,5,11
Dianne,F,56739,34494,16928,3803,1514
Dianne,M,104,70,29,0,5
Diannia,F,333,201,113,19,0
Diantha,F,375,167,111,72,25
Dick,M,3659,2140,1110,288,121
Dickey,M,446,257,142,47,0
Dickie,F,73,62,11,0,0
Dickie,M,1857,1076,511,221,49
Dickson,M,272,105,66,71,30
Dicky,M,493,295,152,41,5
Diedra,F,1600,191,653,390,366
Diedre,F,1501,256,600,366,279
Diego,F,10,0,0,0,10
Diego,M,6129,350,633,1244,3902
Dierdre,F,944,163,436,226,119
Dieter,M,605,88,276,138,103
Dietra,F,578,56,248,210,64
Dietrich,F,149,17,85,47,0
Dietrich,M,805,90,180,316,219
Digna,F,273,34,65,87,87
Dijon,F,18,0,0,0,18
Dijon,M,223,0,5,21,197
Dillard,M,803,362,230,139,72
Dillon,F,35,0,0,0,35
Dillon,M,5139,76,79,483,4501
Dimas,M,637,116,142,150,229
Dimitra,F,547,21,64,261,201
Dimitri,F,82,5,35,18,24
Dimitri,M,1604,147,321,457,679
Dimitrios,M,1235,13,130,557,535
Dimitrius,M,273,0,50,93,130
Dimple,F,416,166,73,67,110
Dina,F,23272,1689,10216,8047,3320
Dina,M,71,0,30,21,20
Dinah,F,5993,2903,1626,836,628
Dineen,F,425,66,257,92,10
Dino,M,6237,1441,2794,1302,700
Dinora,F,330,12,63,122,133
Dinorah,F,358,12,121,121,104
Dion,F,829,75,247,326,181
Dion,M,10563,575,3245,4152,2591
Diona,F,864,45,165,325,329
Diondra,F,314,0,19,60,235
Diondre,M,204,0,5,63,136
Dione,F,2017,172,516,948,381
Dione,M,290,0,39,136,115
Dionicio,M,788,169,176,226,217
Dionisio,M,500,94,128,155,123
Dionna,F,1640,5,193,617,825
Dionna,M,5,0,0,0,5
Dionne,F,8483,288,2547,4152,1496
Dionne,M,279,0,29,145,105
Dionte,F,16,0,0,0,16
Dionte,M,677,0,0,102,575
Dirk,M,8950,2688,3310,1796,1156
Disa,F,206,10,53,86,57
Divina,F,283,23,40,99,121
Divya,F,217,0,0,32,185
Dixie,F,12429,6769,2796,1689,1175
Dixie,M,121,76,21,16,8
Dixon,M,752,288,188,128,148
Dj,M,204,0,6,59,139
Djuan,F,7,0,7,0,0
Djuan,M,653,0,70,231,352
Djuana,F,630,17,403,121,89
Djuna,F,320,0,285,30,5
Dmitri,M,461,27,105,153,176
Dock,M,720,342,153,140,85
Dodd,M,288,42,208,38,0
Dodi,F,458,49,165,233,11
Dodie,F,1185,226,464,434,61
Dody,F,333,95,131,99,8
Dolan,M,483,126,114,137,106
Dollie,F,2475,1341,626,314,194
Dolly,F,5348,2417,1464,940,527
Dolly,M,5,5,0,0,0
Dolores,F,33658,18304,9630,3594,2130
Dolores,M,251,127,79,34,11
Doloris,F,205,139,54,12,0
Dolphus,M,255,147,68,40,0
